"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"DeAndre Hopkins","ARI","WR46","0.0","0.4","0.0","59.2","749.4","5.5","0.5","166.1"
"Michael Gallup","DAL","WR47","2.0","14.2","0.0","55.5","782.7","5.2","0.4","165.7"
"Chase Edmonds","MIA","RB33","138.0","608.2","3.3","44.9","321.8","1.6","0.9","165.6"
"Clyde Edwards-Helaire","KC","RB34","171.0","691.7","4.8","33.9","249.9","1.8","1.1","165.4"
"Tyler Boyd","CIN","WR48","2.7","19.0","0.0","64.0","739.9","4.2","0.5","164.3"
"Mecole Hardman","KC","WR49","8.4","59.0","0.4","57.2","722.7","4.5","1.0","163.0"
"Kadarius Toney","NYG","WR50","8.8","60.8","0.1","61.9","718.9","3.7","0.5","161.8"
"Kenny Golladay","NYG","WR51","0.0","0.0","0.0","56.0","793.9","4.5","0.4","161.6"
"DeVante Parker","NE","WR52","0.0","0.0","0.0","57.3","761.3","4.8","0.4","161.1"
"Jarvis Landry","NO","WR53","3.0","16.9","0.3","59.9","730.1","4.2","0.6","160.4"
"Marvin Jones Jr.","JAC","WR54","0.0","0.0","0.0","58.2","699.7","4.8","0.4","156.1"
"Robbie Anderson","CAR","WR55","3.7","24.6","0.1","57.8","680.7","4.7","0.4","156.1"
"Zach Ertz","ARI","TE9","0.0","0.0","0.0","63.5","652.0","4.7","0.4","156.0"
"Melvin Gordon III","DEN","RB35","153.7","698.5","6.2","23.8","180.6","1.3","1.9","152.9"
"Mike Gesicki","MIA","TE10","0.0","0.0","0.0","61.2","668.6","4.0","0.4","151.4"
"Rhamondre Stevenson","NE","RB36","166.5","694.7","6.1","24.1","185.5","0.8","1.0","151.3"
"Hunter Henry","NE","TE11","0.0","0.0","0.0","53.2","609.8","6.0","0.1","150.0"
"Russell Gage","TB","WR56","0.2","0.8","0.0","57.8","662.6","4.6","0.9","149.9"
"Garrett Wilson","NYJ","WR57","1.8","13.2","0.0","53.1","730.9","4.1","1.2","149.7"
"Marquez Valdes-Scantling","KC","WR58","0.6","3.2","0.0","47.0","733.8","4.8","0.1","149.5"
"Pat Freiermuth","PIT","TE12","0.0","0.0","0.0","63.2","584.0","4.8","0.5","149.4"
"Tyler Higbee","LAR","TE13","0.0","0.0","0.0","59.9","605.0","4.7","0.4","148.0"
"Noah Fant","SEA","TE14","0.0","0.0","0.0","60.6","652.3","3.8","0.4","147.9"
"Dawson Knox","BUF","TE15","0.0","0.0","0.0","49.8","603.8","6.2","0.1","147.1"
"Cole Kmet","CHI","TE16","0.0","0.0","0.0","61.2","636.6","3.7","0.5","146.4"
