"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"231",12,"Tre Nixon",NE,"10","4 out of 5 stars","-"
"232",12,"DeMichael Harris",IND,"14","4 out of 5 stars","-"
"233",12,"Dontario Drummond",DAL,"9","3 out of 5 stars","-"
"234",12,"Frank Darby",ATL,"14","4 out of 5 stars","-"
"235",12,"Kelvin Harmon",WAS,"14","4 out of 5 stars","-"
"236",13,"Britain Covey",PHI,"7","4 out of 5 stars","-"
"237",13,"DJ Turner",LV,"6","2 out of 5 stars","-"
"238",13,"Devin Funchess",DET,"6","3 out of 5 stars","-"
"239",13,"Kekoa Crawford",FA,"-","-","-"
"240",13,"Warren Jackson",LAR,"7","2 out of 5 stars","-"
"241",13,"Landen Akers",LAR,"7","2 out of 5 stars","-"
"242",13,"Kirk Merritt",NO,"14","4 out of 5 stars","-"
"243",13,"Marken Michel",WAS,"14","4 out of 5 stars","-"
"244",13,"J.J. Arcega-Whiteside",PHI,"7","4 out of 5 stars","-"
"245",13,"David Sills V",NYG,"9","4 out of 5 stars","-"
"246",13,"Jason Moore Jr.",LAC,"8","3 out of 5 stars","-"
"247",13,"Trevon Bradford",LAC,"8","3 out of 5 stars","-"
"248",13,"Steven Sims Jr.",PIT,"9","4 out of 5 stars","-"
"249",13,"Joe Reed",LAC,"8","3 out of 5 stars","-"
"250",13,"Michael Bandy",LAC,"8","3 out of 5 stars","-"
"251",13,"Gary Jennings Jr.",KC,"8","2 out of 5 stars","-"
"252",13,"Nsimba Webster",CHI,"14","3 out of 5 stars","-"
"253",13,"Devon Allen",PHI,"7","4 out of 5 stars","-"
"254",13,"Kwamie Lassiter II",CIN,"10","3 out of 5 stars","-"
"255",13,"Josh Hammond",NE,"10","4 out of 5 stars","-"
"256",13,"Kyric McGowan",WAS,"14","4 out of 5 stars","-"
"257",13,"Omar Bayless",KC,"8","2 out of 5 stars","-"
"258",14,"Tyshaun James",ATL,"14","4 out of 5 stars","-"
"259",14,"Jared Bernhardt",ATL,"14","4 out of 5 stars","-"
