"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"DeAndre Hopkins","ARI","WR48","0.0","0.5","0.0","59.1","729.7","5.6","0.7","164.3"
"DeVante Parker","NE","WR49","0.0","0.0","0.0","57.3","774.9","5.0","0.7","163.4"
"Jakobi Meyers","NE","WR50","0.3","2.3","0.0","68.1","745.1","3.4","0.7","162.0"
"Michael Gallup","DAL","WR51","0.0","0.0","0.0","55.0","764.4","5.1","0.6","161.0"
"Kenny Golladay","NYG","WR52","0.0","0.0","0.0","55.3","800.6","4.4","0.7","160.3"
"Tim Patrick","DEN","WR53","0.0","0.0","0.0","52.9","720.1","5.4","0.7","156.2"
"Allen Lazard","GB","WR54","1.8","14.9","0.0","50.5","656.2","6.0","0.6","152.5"
"Garrett Wilson","NYJ","WR55","1.0","5.7","0.0","53.8","754.2","4.1","1.2","152.2"
"Jarvis Landry","NO","WR56","3.0","15.6","0.3","57.2","697.0","3.9","0.9","152.1"
"Zach Ertz","ARI","TE9","0.0","0.0","0.0","61.1","633.4","4.7","0.6","151.6"
"Marvin Jones Jr.","JAC","WR57","0.0","0.0","0.0","56.1","663.9","5.0","0.6","150.9"
"Mike Gesicki","MIA","TE10","0.0","0.0","0.0","61.5","660.9","4.1","0.6","150.7"
"Pat Freiermuth","PIT","TE11","0.0","0.0","0.0","62.5","560.2","5.2","0.7","148.5"
"Melvin Gordon III","DEN","RB34","157.6","699.9","6.1","22.2","160.3","1.1","1.8","147.5"
"Rhamondre Stevenson","NE","RB35","167.9","719.3","5.8","22.7","176.5","0.5","1.4","147.2"
"Chris Olave","NO","WR58","0.8","2.8","0.0","49.6","706.8","4.6","0.7","147.1"
"Mecole Hardman","KC","WR59","9.1","59.7","0.5","51.9","646.4","3.9","1.3","146.4"
"Noah Fant","SEA","TE12","0.0","0.0","0.0","61.5","629.4","3.8","0.6","146.1"
"Cole Kmet","CHI","TE13","0.0","0.0","0.0","61.4","640.0","3.6","0.7","145.8"
"Marquez Valdes-Scantling","KC","WR60","0.7","4.0","0.0","43.1","709.0","4.9","0.1","143.8"
"Rashaad Penny","SEA","RB36","173.6","846.6","5.6","14.6","108.5","0.3","1.2","143.1"
"Hunter Henry","NE","TE14","0.0","0.0","0.0","51.5","567.6","5.8","0.1","143.1"
"Christian Watson","GB","WR61","1.5","8.9","0.0","49.2","665.2","4.7","1.2","142.6"
"Dawson Knox","BUF","TE15","0.0","0.0","0.0","48.6","579.1","6.0","0.1","142.0"
"Tyler Higbee","LAR","TE16","0.0","0.0","0.0","57.4","578.5","4.6","0.7","141.6"
"Rondale Moore","ARI","WR62","16.8","82.3","0.5","57.9","553.4","3.0","0.9","141.0"
"K.J. Osborn","MIN","WR63","0.3","2.5","0.0","48.7","629.3","5.0","0.6","140.5"
"Van Jefferson","LAR","WR64","2.3","18.8","0.1","45.1","640.6","4.6","0.2","138.8"
"James Robinson","JAC","RB37","147.0","649.6","5.2","22.4","162.5","0.9","1.5","137.2"
"Michael Carter","NYJ","RB38","123.0","521.7","3.0","34.0","288.6","1.1","1.2","137.0"
"Albert Okwuegbunam","DEN","TE17","0.0","0.0","0.0","53.1","554.3","4.9","0.7","136.7"
"Austin Hooper","TEN","TE18","0.0","0.0","0.0","56.0","525.2","4.5","0.6","134.5"
"Nyheim Hines","IND","RB39","60.9","277.8","1.7","50.1","386.6","2.0","2.4","134.0"
"Ken Walker III","SEA","RB40","157.8","701.8","4.5","20.5","161.2","0.6","1.8","133.7"
"Gerald Everett","LAC","TE19","0.0","0.0","0.0","53.9","542.7","4.4","1.3","131.9"
"Skyy Moore","KC","WR65","0.5","3.0","0.0","45.2","602.4","4.6","1.2","131.2"
"Jahan Dotson","WAS","WR66","0.5","2.8","0.0","48.7","646.8","3.3","1.2","131.1"
"Irv Smith Jr.","MIN","TE20","0.0","0.0","0.0","51.3","525.3","4.5","0.2","130.7"
"George Pickens","PIT","WR67","0.5","2.3","0.0","50.4","626.0","3.2","1.2","129.9"
"David Njoku","CLE","TE21","0.0","0.0","0.0","46.6","568.4","4.4","0.1","129.9"
"Logan Thomas","WAS","TE22","0.0","0.0","0.0","50.8","523.3","4.6","0.6","129.7"
"J.D. McKissic","WAS","RB41","54.8","246.5","1.7","46.1","369.0","1.7","0.7","127.2"
"Jalen Tolbert","DAL","WR68","0.5","3.0","0.0","45.1","587.7","4.1","0.7","127.2"
"Corey Davis","NYJ","WR69","0.0","0.0","0.0","44.3","608.3","3.8","0.7","126.5"
"Jameson Williams","DET","WR70","0.5","2.8","0.0","45.0","613.2","3.6","1.1","125.7"
"DJ Chark Jr.","DET","WR71","0.3","2.0","0.0","40.8","584.2","4.2","0.1","124.2"
"Robert Tonyan","GB","TE23","0.0","0.0","0.0","46.5","511.7","4.5","0.1","124.2"
"Curtis Samuel","WAS","WR72","13.5","77.7","0.8","43.7","483.9","3.4","0.7","123.8"
"James Cook","BUF","RB42","99.4","439.9","3.2","30.0","233.7","1.5","1.3","123.2"
"Evan Engram","JAC","TE24","0.0","0.0","0.0","50.3","527.3","3.5","0.7","122.6"
"Sterling Shepard","NYG","WR73","1.3","5.5","0.0","54.0","528.4","2.6","0.6","121.5"
"Nico Collins","HOU","WR74","0.0","0.0","0.0","44.7","579.0","3.0","0.2","120.4"
"Jamison Crowder","BUF","WR75","0.3","1.3","0.0","47.6","489.4","3.9","0.7","118.9"
"Randall Cobb","GB","WR76","1.0","3.7","0.0","40.3","507.1","4.5","0.7","116.9"
"Donovan Peoples-Jones","CLE","WR77","0.0","0.0","0.0","39.0","603.1","3.1","0.7","116.6"
"Jamaal Williams","DET","RB43","143.1","581.4","3.3","22.2","142.5","0.8","1.2","116.4"
"Ronald Jones II","KC","RB44","137.4","604.1","5.1","14.3","102.1","0.5","1.4","115.6"
"Raheem Mostert","MIA","RB45","119.0","572.7","3.8","17.9","140.2","0.9","0.8","115.5"
"Gus Edwards","BAL","RB46","139.4","689.0","4.2","11.4","99.2","0.3","1.3","114.2"
"Nick Westbrook-Ikhine","TEN","WR78","0.0","0.0","0.0","41.0","515.6","3.7","0.7","113.4"
"Darrell Henderson Jr.","LAR","RB47","113.3","482.4","3.9","21.0","153.2","1.3","1.1","113.2"
"Alexander Mattison","MIN","RB48","117.8","489.4","2.8","25.1","184.9","1.0","1.2","112.8"
"Cedrick Wilson Jr.","MIA","WR79","0.8","2.0","0.0","43.0","512.0","3.3","0.8","112.7"
"Kenneth Gainwell","PHI","RB49","87.5","381.1","3.9","26.3","202.1","1.2","1.3","112.4"
"James White","NE","RB50","37.2","148.0","1.1","43.7","344.9","2.2","0.2","112.3"
"A.J. Green","ARI","WR80","0.0","0.0","0.0","38.9","549.6","3.0","0.1","111.7"
"Dameon Pierce","HOU","RB51","130.4","513.5","3.4","21.9","171.8","0.8","1.8","111.6"
"Alec Pierce","IND","WR81","0.0","0.0","0.0","39.5","503.8","3.6","0.3","111.0"
"Cameron Brate","TB","TE25","0.0","0.0","0.0","44.1","418.3","4.4","0.7","110.9"
"Joshua Palmer","LAC","WR82","0.0","0.0","0.0","41.6","483.7","3.5","0.4","110.1"
"Kenyan Drake","LV","RB52","88.8","377.5","3.1","27.3","217.4","0.9","0.7","109.6"
"Marlon Mack","HOU","RB53","153.0","616.6","3.7","16.1","108.0","0.2","1.2","109.6"
"Hayden Hurst","CIN","TE26","0.0","0.0","0.0","43.9","433.3","3.9","0.7","109.1"
"John Metchie III","HOU","WR83","0.0","0.0","0.0","42.6","507.8","2.6","0.3","108.6"
"Parris Campbell","IND","WR84","0.8","6.8","0.0","38.7","492.4","3.1","0.1","107.2"
